    52.000 	    279.150 	   1.285397      -0.516      -2.483 	      0.429
   117.000 	    278.950 	   1.276328      -0.825      -3.973 	      0.686
   149.000 	    278.650 	   1.272701      -1.031      -4.966 	      0.857
   297.000 	    277.350 	   1.256058      -2.345      -6.521 	      1.960
   403.000 	    276.450 	   1.243765      -2.969      -6.675 	      2.484
   552.000 	    275.150 	   1.226852      -3.176      -5.891 	      2.660
   678.000 	    273.950 	   1.213151      -3.909      -5.082 	      3.279
   721.000 	    273.650 	   1.208116      -4.524      -4.119 	      3.798
   729.000 	    273.550 	   1.207284      -4.631      -3.910 	      3.889
   763.000 	    273.750 	   1.201311      -4.321      -2.500 	      3.631
   789.000 	    273.950 	   1.196619      -3.768      -1.494 	      3.167
   798.000 	    274.950 	   1.191000      -3.805      -1.322 	      3.199
   806.000 	    275.950 	   1.185422      -3.838      -1.147 	      3.227
   850.000 	    281.350 	   1.156479      -3.148      -0.064 	      2.649
   885.000 	    281.750 	   1.149891      -2.727       0.508 	      2.296
   930.000 	    281.750 	   1.143709      -2.216       1.061 	      1.867
   957.000 	    281.750 	   1.140000      -2.230       1.011 	      1.879
   984.000 	    281.550 	   1.137098      -1.880       0.757 	      1.584
  1038.000 	    281.550 	   1.129674      -1.519       0.536 	      1.280
  1065.000 	    281.550 	   1.125962      -1.533       0.467 	      1.291
  1092.000 	    281.750 	   1.121453      -1.539       0.432 	      1.296
  1129.000 	    281.850 	   1.116111      -1.162       0.271 	      0.979
  1221.000 	    281.950 	   1.103360      -1.554       0.326 	      1.309
  1239.000 	    281.950 	   1.100889      -1.554       0.326 	      1.309
  1267.000 	    281.750 	   1.097961      -1.554       0.326 	      1.309
  1286.000 	    281.550 	   1.096266      -1.558       0.290 	      1.312
  1332.000 	    281.150 	   1.091630      -1.948       0.363 	      1.640
  1445.000 	    280.550 	   1.079064      -2.343       0.382 	      1.972
  1483.000 	    280.350 	   1.074863      -2.348       0.329 	      1.976
  1493.000 	    280.150 	   1.074387      -2.348       0.329 	      1.976
  1540.000 	    280.550 	   1.066647      -2.348       0.329 	      1.976
  1598.000 	    280.750 	   1.058442      -2.744       0.321 	      2.310
  1627.000 	    280.750 	   1.054719      -2.744       0.321 	      2.310
  1872.000 	    280.550 	   1.024428      -4.312       0.504 	      3.629
  2013.000 	    280.350 	   1.007762      -5.117       0.013 	      4.306
  2064.000 	    280.350 	   1.001549      -5.103       0.480 	      4.295
  2135.000 	    279.950 	   0.994269      -5.423       1.264 	      4.566
  2248.000 	    279.450 	   0.982336      -5.491      -0.614 	      4.619
  2384.000 	    278.750 	   0.968556      -6.663       0.779 	      5.609
  2501.000 	    278.150 	   0.956868      -6.593      -1.502 	      5.545
  2544.000 	    277.950 	   0.952543      -6.265      -0.844 	      5.270
  2576.000 	    277.950 	   0.948783      -5.897      -0.389 	      4.961
  2663.000 	    277.150 	   0.941466      -5.096       0.596 	      4.289
  2706.000 	    276.750 	   0.937792      -5.109       0.363 	      4.300
  2772.000 	    276.050 	   0.932598      -5.117       0.013 	      4.306
  2871.000 	    274.950 	   0.924926      -5.117       0.013 	      4.306
  2882.000 	    274.850 	   0.923995      -5.117       0.013 	      4.306
  2937.000 	    274.550 	   0.918660      -5.502       0.391 	      4.631
  2982.000 	    274.350 	   0.914251      -5.488       0.642 	      4.619
  3004.000 	    274.350 	   0.911711      -5.478       0.767 	      4.611
  3072.000 	    273.950 	   0.905412      -5.811       1.355 	      4.893
  3208.000 	    273.150 	   0.892760      -5.811       1.355 	      4.893
  3242.000 	    272.950 	   0.889585      -6.272       0.733 	      5.279
  3254.000 	    272.850 	   0.888634      -6.281       0.590 	      5.286
  3346.000 	    272.450 	   0.879710      -7.081      -0.305 	      5.958
  3393.000 	    272.250 	   0.875238      -7.452      -0.833 	      6.269
  3498.000 	    271.850 	   0.864992      -7.084      -0.143 	      5.961
  3533.000 	    271.650 	   0.861782      -7.085       0.018 	      5.962
  3569.000 	    271.250 	   0.859200      -7.085       0.018 	      5.962
  3761.000 	    269.650 	   0.843627      -8.252       0.587 	      6.946
  3980.000 	    267.750 	   0.826194      -9.407       1.100 	      7.919
  4192.000 	    265.850 	   0.809822      -9.413      -1.052 	      7.919
  4218.000 	    265.650 	   0.807809      -9.413      -1.052 	      7.919
  4306.000 	    265.050 	   0.800437      -8.989      -1.419 	      7.561
  4447.000 	    263.750 	   0.789853      -8.145      -1.855 	      6.850
  4669.000 	    261.650 	   0.773558      -8.265       0.021 	      6.955
  4735.000 	    261.050 	   0.768664      -7.871      -0.159 	      6.623
  4775.000 	    260.850 	   0.765247      -7.868      -0.339 	      6.620
  4855.000 	    260.050 	   0.759563      -7.854      -0.698 	      6.608
  4909.000 	    259.850 	   0.754785      -7.452      -0.833 	      6.269
  4923.000 	    259.750 	   0.753735      -7.452      -0.833 	      6.269
  4950.000 	    259.650 	   0.751342      -7.440      -1.003 	      6.258
  5154.000 	    257.950 	   0.736035      -7.991      -2.775 	      6.718
  5365.000 	    256.250 	   0.720526      -8.147      -3.850 	      6.847
  5508.000 	    255.050 	   0.710257      -9.308      -2.120 	      7.828
  5624.000 	    254.550 	   0.700704     -10.472      -2.385 	      8.807
  5653.000 	    254.450 	   0.698241     -10.502      -2.146 	      8.832
  5711.000 	    253.850 	   0.694402     -10.528      -1.906 	      8.856
  5800.000 	    253.250 	   0.687794     -10.197      -1.140 	      8.579
  6054.000 	    251.050 	   0.670231     -10.472      -2.385 	      8.807
  6177.000 	    250.050 	   0.661766     -10.528      -1.906 	      8.856
